key,total,min,max
year1966_month10,22.400000000000002,0.0,15.5
year1966_month11,61.199999999999996,0.0,18.5
year1966_month12,15.8,0.0,6.1
year1967_month01,106.60000000000001,0.0,34.3
year1967_month02,249.4000000000001,0.0,145.5
year1967_month03,978.5999999999999,0.0,435.9
year1967_month04,60.99999999999998,0.0,19.6
year1967_month05,50.29999999999999,0.0,19.8
year1967_month06,83.0,0.0,27.7
year1967_month07,18.5,0.0,7.4
year1967_month08,12.0,0.0,4.8
year1967_month09,0.3,0.0,0.3
year1967_month10,88.6,0.0,32.8
year1967_month11,38.099999999999994,0.0,14.7
year1967_month12,78.5,0.0,26.9
year1968_month01,470.30000000000007,0.0,88.1
year1968_month02,251.8,0.0,89.4
year1968_month03,34.0,0.0,6.1
year1968_month04,24.3,0.0,6.6
year1968_month05,36.5,0.0,9.4
year1968_month06,3.4,0.0,2.0
year1968_month07,30.1,0.0,5.8
year1968_month08,3.5999999999999996,0.0,3.3
year1968_month09,10.7,0.0,4.8
year1968_month10,8.900000000000002,0.0,6.4
year1968_month11,54.800000000000004,0.0,47.2
year1968_month12,32.0,0.0,18.5
year1969_month01,271.0,0.0,119.1
year1969_month02,65.0,0.0,19.8
year1969_month03,184.79999999999998,0.0,36.8
year1969_month04,32.6,0.0,8.1
year1969_month05,52.399999999999984,0.0,16.5
year1969_month06,61.400000000000006,0.0,22.1
year1969_month07,68.39999999999999,0.0,6.6
year1969_month08,4.8999999999999995,0.0,1.5
year1969_month09,11.1,0.0,3.3
year1969_month10,12.2,0.0,6.4
year1969_month11,2.5,0.0,1.5
year1969_month12,146.9,0.0,37.6
year1970_month01,137.0,0.0,81.8
year1970_month02,350.00000000000006,0.0,79.5
year1970_month03,143.89999999999998,0.0,46.2
year1970_month04,89.39999999999999,0.0,35.8
year1970_month05,26.700000000000003,0.0,5.1
year1970_month06,26.4,0.0,10.9
year1970_month07,14.7,0.0,3.6
year1970_month08,119.1,0.0,92.7
year1970_month09,2.3,0.0,2.3
year1970_month10,25.200000000000003,0.0,10.7
year1970_month11,138.6,0.0,44.5
year1970_month12,250.79999999999998,0.0,52.3
year1971_month01,146.59999999999997,0.0,28.2
year1971_month02,328.20000000000005,0.0,64.5
year1971_month03,349.1,0.0,112.8
year1971_month04,216.50000000000006,0.0,73.9
year1971_month05,10.9,0.0,2.3
year1971_month06,46.5,0.0,31.2
year1971_month07,15.0,0.0,6.1
year1971_month08,12.3,0.0,5.1
year1971_month09,2.0,0.0,1.0
year1971_month10,28.7,0.0,20.8
year1971_month11,69.89999999999999,0.0,25.7
year1971_month12,133.7,0.0,65.5
year1972_month01,306.2000000000001,0.0,123.4
year1972_month02,381.5999999999999,0.0,78.0
year1972_month03,846.0,0.0,136.9
year1972_month04,49.19999999999999,0.0,18.5
year1972_month05,73.09999999999997,0.0,16.8
year1972_month06,58.8,0.0,21.8
year1972_month07,1.0,0.0,1.0
year1972_month08,8.4,0.0,4.3
year1972_month09,40.3,0.0,10.4
year1972_month10,0.0,0.0,0.0
year1972_month11,15.6,0.0,13.7
year1972_month12,26.1,0.0,18.3
year1973_month01,39.2,0.0,13.5
year1973_month02,274.00000000000006,0.0,34.0
year1973_month03,539.9000000000002,0.0,214.9
year1973_month04,162.50000000000009,0.0,32.5
year1973_month05,30.800000000000004,0.0,13.5
year1973_month06,35.3,0.0,8.4
year1973_month07,24.500000000000004,0.0,5.3
year1973_month08,9.1,0.0,4.3
year1973_month09,12.3,0.0,3.8
year1973_month10,30.3,0.0,8.4
year1973_month11,203.09999999999997,0.0,42.2
year1973_month12,234.20000000000005,0.0,67.3
year1974_month01,545.8000000000001,0.0,81.4
year1974_month02,366.39999999999986,0.0,100.6
year1974_month03,843.3999999999997,0.0,156.0
year1974_month04,53.800000000000004,0.0,16.0
year1974_month05,41.400000000000006,0.0,10.6
year1974_month06,26.4,0.0,12.2
year1974_month07,0.0,0.0,0.0
year1974_month08,51.199999999999996,0.0,42.0
year1974_month09,4.1,0.0,1.4
year1974_month10,6.3,0.0,5.4
year1974_month11,84.60000000000001,0.0,33.0
year1974_month12,79.4,0.0,26.0
year1975_month01,305.8,0.0,93.4
year1975_month02,223.79999999999998,0.0,85.0
year1975_month03,272.19999999999993,0.0,60.0
year1975_month04,103.20000000000002,0.0,39.6
year1975_month05,35.4,0.0,16.8
year1975_month06,90.2,0.0,32.4
year1975_month07,25.4,0.0,7.4
year1975_month08,22.0,0.0,12.0
year1975_month09,69.60000000000001,0.0,38.4
year1975_month10,50.0,0.0,20.0
year1975_month11,41.800000000000004,0.0,30.2
year1975_month12,206.80000000000004,0.0,55.0
year1976_month01,117.60000000000001,0.0,40.6
year1976_month02,236.50000000000006,0.0,73.8
year1976_month03,307.5999999999999,0.0,65.4
year1976_month04,103.4,0.0,39.6
year1976_month05,35.0,0.0,11.6
year1976_month06,47.199999999999996,0.0,21.2
year1976_month07,34.8,0.0,11.4
year1976_month08,4.0,0.0,2.4
year1976_month09,2.6,0.0,1.8
year1976_month10,48.800000000000004,0.0,15.6
year1976_month11,159.6,0.0,43.8
year1976_month12,165.59999999999997,0.0,38.8
year1977_month01,97.0,0.0,31.6
year1977_month02,834.8000000000001,0.0,162.0
year1977_month03,582.0,0.0,316.8
year1977_month04,142.79999999999998,0.0,34.0
year1977_month05,156.7,0.0,93.0
year1977_month06,39.20000000000001,0.0,10.2
year1977_month07,7.800000000000001,0.0,3.2
year1977_month08,14.4,0.0,6.2
year1977_month09,38.800000000000004,0.0,12.2
year1977_month10,5.2,0.0,2.4
year1977_month11,17.0,0.0,6.2
year1977_month12,77.3,0.0,35.6
year1978_month01,263.0,0.0,95.0
year1978_month02,71.0,0.0,20.0
year1978_month03,131.0,0.0,58.0
year1978_month04,55.0,0.0,26.0
year1978_month05,45.0,0.0,14.0
year1978_month06,3.8,0.0,1.8
year1978_month07,1.0,0.0,1.0
year1978_month08,33.0,0.0,12.0
year1978_month09,7.0,0.0,6.0
year1978_month10,29.0,0.0,10.0
year1978_month11,74.0,0.0,42.0
year1978_month12,262.0,0.0,70.0
year1979_month01,1222.0,0.0,264.0
year1979_month02,244.0,0.0,63.0
year1979_month03,213.0,0.0,43.0
year1979_month04,67.0,0.0,17.0
year1979_month05,18.0,0.0,7.0
year1979_month06,65.0,0.0,40.0
year1979_month07,28.0,0.0,16.0
year1979_month08,9.4,0.0,9.0
year1979_month09,6.0,0.0,2.0
year1979_month10,26.0,0.0,17.0
year1979_month11,0.0,0.0,0.0
year1979_month12,44.0,0.0,20.0
year1980_month01,64.0,0.0,19.0
year1980_month02,167.0,0.0,26.0
year1980_month03,205.0,0.0,89.0
year1980_month04,65.0,0.0,32.0
year1980_month05,39.0,0.0,13.0
year1980_month06,30.0,0.0,13.0
year1980_month07,8.0,0.0,3.0
year1980_month08,27.0,0.0,5.0
year1980_month09,0.0,0.0,0.0
year1980_month10,14.0,0.0,5.0
year1980_month11,43.0,0.0,17.0
year1980_month12,27.0,0.0,5.0
year1981_month01,693.0,0.0,83.0
year1981_month02,386.0,0.0,75.0
year1981_month03,93.0,0.0,39.0
year1981_month04,63.0,0.0,13.0
year1981_month05,81.0,0.0,26.0
year1981_month06,3.0,0.0,2.0
year1981_month07,31.0,0.0,12.0
year1981_month08,0.0,0.0,0.0
