key,total,min,max
year2013_month12,90.0,0.0,18.0
year2014_month01,404.0,0.0,131.0
year2014_month02,496.0,0.0,63.0
year2014_month03,372.0,0.0,125.0
year2014_month04,517.0,0.0,235.0
year2014_month05,167.0,0.0,48.0
year2014_month06,124.0,0.0,35.0
year2014_month07,63.0,0.0,14.0
year2014_month08,59.0,0.0,17.0
year2014_month09,6.0,0.0,2.0
year2014_month10,12.0,0.0,4.0
year2014_month11,20.0,0.0,9.0
year2014_month12,65.0,0.0,44.0
year2015_month01,267.0,0.0,51.0
year2015_month02,739.0,0.0,297.0
year2015_month03,312.0,0.0,118.0
year2015_month04,83.0,0.0,33.0
year2015_month05,47.0,0.0,12.0
year2015_month06,222.0,0.0,44.0
year2015_month07,38.0,0.0,6.0
year2015_month08,24.0,0.0,13.0
year2015_month09,30.0,0.0,19.0
year2015_month10,87.0,0.0,17.0
year2015_month11,92.0,0.0,17.0
year2015_month12,358.0,0.0,88.0
year2016_month01,73.0,0.0,19.0
year2016_month02,136.0,0.0,35.0
year2016_month03,212.0,0.0,63.0
year2016_month04,151.0,0.0,22.0
year2016_month05,224.0,0.0,117.0
year2016_month06,102.0,0.0,31.0
year2016_month07,145.0,0.0,54.0
year2016_month08,43.0,0.0,9.0
year2016_month09,75.0,0.0,21.0
year2016_month10,27.0,0.0,11.0
year2016_month11,23.0,0.0,9.0
year2016_month12,158.0,0.0,71.0
year2017_month01,384.0,0.0,43.0
year2017_month02,601.0,0.0,159.0
year2017_month03,224.0,0.0,47.0
year2017_month04,217.0,0.0,61.0
year2017_month05,67.0,0.0,16.0
year2017_month06,54.0,0.0,11.0
year2017_month07,100.0,0.0,35.0
year2017_month08,7.0,0.0,2.0
year2017_month09,61.0,0.0,46.0
year2017_month10,194.0,0.0,101.0
year2017_month11,118.0,0.0,29.0
year2017_month12,40.0,0.0,14.0
year2018_month01,701.0,0.0,140.0
year2018_month02,424.0,0.0,160.0
year2018_month03,1297.0,0.0,244.0
year2018_month04,64.0,0.0,33.0
year2018_month05,35.0,0.0,13.0
year2018_month06,58.0,0.0,14.0
year2018_month07,45.0,0.0,34.0
year2018_month08,5.0,0.0,2.0
year2018_month09,8.0,0.0,2.0
year2018_month10,23.0,0.0,7.0
year2018_month11,29.0,0.0,11.0
year2018_month12,1240.0,0.0,250.0
year2019_month01,891.0,0.0,219.0
year2019_month02,432.0,0.0,103.0
year2019_month03,488.0,0.0,97.0
year2019_month04,323.0,0.0,122.0
year2019_month05,127.0,0.0,24.0
year2019_month06,6.0,0.0,6.0
year2019_month07,5.0,0.0,2.0
year2019_month08,38.0,0.0,13.0
year2019_month09,5.0,0.0,3.0
year2019_month10,92.0,0.0,39.0
year2019_month11,6.0,0.0,3.0
year2019_month12,93.0,0.0,21.0
year2020_month01,505.0,0.0,159.0
year2020_month02,342.0,0.0,81.0
year2020_month03,225.0,0.0,49.0
year2020_month04,108.0,0.0,41.0
year2020_month05,204.0,0.0,79.0
year2020_month06,90.0,0.0,23.0
year2020_month07,72.0,0.0,40.0
year2020_month08,24.0,0.0,8.0
year2020_month09,106.0,0.0,28.0
year2020_month10,19.0,0.0,6.0
year2020_month11,103.0,0.0,23.0
year2020_month12,206.0,0.0,52.0
year2021_month01,677.0,0.0,210.0
year2021_month02,270.0,0.0,52.0
year2021_month03,180.0,0.0,77.0
year2021_month04,758.0,0.0,173.0
year2021_month05,88.0,0.0,17.0
year2021_month06,79.0,0.0,38.0
year2021_month07,114.0,0.0,67.0
year2021_month08,49.0,0.0,8.0
year2021_month09,205.0,0.0,181.0
year2021_month10,25.0,0.0,13.0
